Text,User,Likes,Replies,Reposts,Date,Scraped At,Platform
"Untuk para orang tua, jangan lupa mengajarkan bahwa kita hidup di Indonesia, tanah yang damai, dan beragam suku bangsa, agama, dan identitas.Ajarilah mereka gotong royong, bekerjasama untuk kebaikan negeri ini.Jangan hanya fokus pada nilai dan berkompetisi.Sikap #SikapPositif #Pendidikan #Edukasi  Translate",klisin,0,0,0,2024-11-20 23:30:18+00:00,2024-11-21T11:18:38.362736,Threads
"Salah satu kebodohan yang tersebar di Tiktok adalah ada yang menyuarakan ""dana BOS distop"". Dan kontennya rame.Kalau ada sekolah tertentu yang tidak beres penggunaan dana BOS, bukan berarti semua sekolah seperti itu.Rakyat Indonesia masih banyak yang belum punya biaya untuk mengakses pendidikan. Kalau dana BOS distop pendidikan Indonesia akan downgrade besar-besaran. Selain fasilitas jadi semakin kurang anak yang putus atau bahkan tidak sekolah semakin banyak.  Translate",dani_ismantoko,0,0,0,2024-11-20 23:04:48+00:00,2024-11-21T11:18:18.073461,Threads
"Tahukah kamu?
Stunting adalah kondisi gagal tumbuh pada anak akibat kekurangan gizi kronis, terutama pada 1.000 hari pertama kehidupan. Pendidikan dan awareness yang tepat bisa menjadi kunci utama untuk menurunkan angka stunting di Indonesia!Mari bersama kita pelajari lebih dalam di  SPADA, dengan tema:
“Peran Pendidikan dan Awareness dalam Mengurangi Angka Stunting”.#Pro2Bdl
#TemanTerbaikKamu  Translate",pro2bdl,0,0,0,2024-11-20 22:38:08+00:00,2024-11-21T11:18:41.259440,Threads
"Dan apesnya tidak semua rakyat Indonesia itu seberuntung kamu,,nah kalau bicara pendidikan dan kurikulum itu bukan berdasarkan pada sample satu atau dua orang  yg sepertimu,,pendidikan dan kurikulum itu harus mampu di adaptasi oleh semua siswa dan guru tidak perduli apapun latar belakangnya,,karena itu menjadi sebuah standard yg akan di pakai dan untuk melihat hasil standard itu diperlukan lah sebuah ujian yg jujur pastinya  Translate",istaqsundly,0,0,0,2024-11-20 21:43:59+00:00,2024-11-21T11:18:21.519994,Threads
"Karena negara tidak seluas indonesia, negara yang model kayak Indonesia ini sulit udah luas dan berpulau-pulau jadi akibatnya askes pendidikan tidak merata  Translate",tri_bimantoro,0,1,0,2024-11-20 21:33:17+00:00,2024-11-21T11:18:37.234130,Threads
"Kegiatanku Rabu, 20 Nopember 2024
Pendampingan di SMPN 13 Tangerang dan Berkegiatan bersama rekan sejawat.
Bismillah sehat dan terus bekerja dengan hati untuk Pendidikan Indonesia yang lebih baik 
#kegiatanpengawassulastri2024  Translate",sulastricita,0,0,0,2024-11-20 19:54:58+00:00,2024-11-21T11:18:39.539207,Threads
elite_writers1 9h9 hours ago,elite_writers1,0,0,0,2024-11-20 18:31:10+00:00,2024-11-21T11:18:37.692063,Threads
"KPU Surabaya Tetap Terima Pertanyaan Masyarakat di Debat Publik KeduaSUARA INDONESIA, SURABAYA - Komisi Pemilihan Umum (KPU) Kota Surabaya telah mematangkan pelaksanaan debat publik Pilwali kedua yang bakal digelar pada Kamis 21 November 2024. Komisioner KPU Surabaya Divisi Sosialisasi Pendidikan Pemilih (Sosdiklih), Partisipasi Masyarakat (Parmas), dan Sumber Daya…suaraindonesia99blog.wordpress.com/2024…  Translate",coltliqekajaya,0,0,0,2024-11-20 18:04:28+00:00,2024-11-21T11:19:09.054483,Threads
"Seperti rindu, balas dendam pun harus bertemu.Dulu sebelum masuk ke jurusan Pendidikan Bahasa dan Sastra Indonesia saya begitu cinta dengan psikologi, ingin sekali menjajaki ilmu psikologi, tapi saya urungkan karena minim informasi terkait jurusan psikologi. Dan saat ini, di skripsi saya menggunakan teori psikoanalisis. Bukan tanpa alasan, memilih teori tersebut karena ingin berjumpa dengan psikologi. Seperti rindu, dendam pun harus bertemu.  Translate",firdhanakhsani,0,0,0,2024-11-20 16:24:40+00:00,2024-11-21T11:19:01.827291,Threads
"Sosialisasi Perguruan Tinggi Negeri dan KIP kuliah di SMK Negeri 2 Somolo-molo, kabupaten Nias oleh pendiri Haga Pendidikan Ono Niha sekaligus aktivis pendidikan Indonesia; Joniwarsito Waruwu. 25 Oktober 2024.#hagapendidikanononiha #hpon  Translate",official.hpon,0,0,0,2024-11-20 15:46:15+00:00,2024-11-21T11:19:02.586333,Threads
"Berikut inflasi per jenjang pendidikan di Indonesia:Preschool (PAUD): 5% - 10%
Sekolah Dasar (SD): 5% - 8%
SMP: 6% - 9%
SMA: 7% - 10%
Perguruan Tinggi: 10% - 15%
Biaya pendidikan perguruan tinggi bisa melonjak tinggi, lho! 🚀  Translate",catatanpeony,0,1,0,2024-11-20 15:12:43+00:00,2024-11-21T11:18:36.617119,Threads
"Tahu gak sih? Biaya pendidikan anak di Indonesia itu terus naik!
Inflasi pendidikan rata-rata 5%-15% per tahun! Yuk, persiapkan dana pendidikan sejak dini. keuangankeluarga  Translate",catatanpeony,0,3,0,2024-11-20 15:12:40+00:00,2024-11-21T11:18:17.757042,Threads
"User : bossbeb1
Usia : blm tutup usia
Pekerjaan : Miksu 🍼
Status : WANTED 
Pendidikan : S campur
Warga Negara : Indonesia
Cita cita : blm ada yg jadi
Hobby : Kelonan  Translate",bossbeb1,0,0,0,2024-11-20 14:50:09+00:00,2024-11-21T11:19:02.825840,Threads
"Threads do your magic, pertemukan aku dengan ibu2 yang sedang struggling dalam pengasuhan dan stimulasi anak2nya.Aku punya rangkuman pengasuhan dan stimulasi untuk anak usia 0-24 bulan dan 2-3 tahun berpacu pada sumber-sumber Pedoman terpercaya seperti (AAP), (CDC), (WHO), Laporan Pendidikan dan Buku Pedoman Kementerian Kesehatan dan Pendidikan Indonesia lainnya yang lengkap dengan jadwal stimulasi hariannya.Yang mau panduannya boleh bgtt komen usia anaknya dibawah yah mom 🥰  Translate",airimima,0,2,0,2024-11-20 14:20:55+00:00,2024-11-21T11:18:19.833743,Threads
"Rapat Dengar Pendapat Umum (RDPU) Komisi VIII DPR RI dengan Forum Guru Pendidikan Agama Kristen Indonesia (FORGUPOKI).Dengan Agenda, Pengaduan atas persoalan yang dihadapi oleh Guru Pendidik Agama Kristen.Selasa, 19 November 2024.#DPRRI
#KomisiVIIIDPRRI
#PDIPerjuangan
#KawanAbidinFikri",bp_pemilupdip_bojonegoro,0,0,0,2024-11-20 13:36:14+00:00,2024-11-21T11:19:09.418885,Threads
menulis tentang tokoh pendidikan perempuan indonesia untuk puanberaksara  Translate,jsmnoor,0,0,0,2024-11-20 13:35:19+00:00,2024-11-21T11:18:20.624694,Threads
"Presiden RI, Prabowo Subianto, bertemu PM India, Narendra Modi, di KTT G20 Brasil (18/11). Prabowo mengajak India meningkatkan kerja sama di bidang pendidikan dan kesehatan, termasuk mengundang profesor India mengajar di Indonesia.Ia juga meminta bantuan tenaga medis India untuk menutupi kekurangan 160.000 tenaga medis di Indonesia, mengingat Indonesia hanya mampu meluluskan 8.000 dokter per tahun. Lanjut ⇣  Translate",trendyngmedia,0,1,0,2024-11-20 13:09:01+00:00,2024-11-21T11:19:03.854985,Threads
"✨ [COMPANY IDENTITY] ✨PT. Inspirasi Mandiri Nusantara (PINTARA) hadir dengan visi besar untuk memberikan solusi inovatif dan berdampak positif bagi masyarakat Indonesia dalam bidang pendidikan. Sejak berdiri, kami terus tumbuh bersama tim yang berdedikasi dan komitmen yang tinggi.Mari bersama #LifeAtPintara menciptakan muda yang menginspirasi! 🚀#CompanyIdentity
#InspiringChange
#Pintara
#LifeAtPintara  Translate",lifeatpintara,0,0,0,2024-11-20 12:11:13+00:00,2024-11-21T11:19:07.245963,Threads
Mari mengabdikan diri menjadi tutor yang menginspirasi untuk pendidikan Indonesia bersama  mengajardesa 💫  Translate,ayu.lestariii___,0,0,0,2024-11-20 12:08:51+00:00,2024-11-21T11:18:40.180585,Threads
Pola fikir sebagian masyarakat Indonesia spt ini. Itu sudah ciri khas sebuah negara yang mundur dalam pendidikan. Bagi  mereka hitungannya hanya sebatas materi. Prinsip moral itu nomor sekian. Miris sih  Translate,emma__anwar_,0,0,0,2024-11-20 11:29:22+00:00,2024-11-21T11:19:04.501661,Threads
"Ngapunten nakesnya bagian apa ya? Pekerjaan itu pertanyaan standar, di buku KIA ibu hamil se indonesia jg ada identitas ortu (nama, pekerjaan, smpe pendidikan)  Translate",footstep_bar,0,0,0,2024-11-20 11:24:09+00:00,2024-11-21T11:19:03.146698,Threads
"Kurikulum merdeka ini memang luar biasa daya rusaknya bagi pendidikan Indonesia. Gak cuman menghasilkan siswa blm bs baca, berhitung sederhana dan sampai diblacklist universitas bergengsi dunia tp juga membuat anak semakin malas belajar krn yakin tetap akan lulus. Utk yg memang passion belajar mkn bagus tp utk yg (maaf) ekonomi rendah, minat belajar rendah, kemampuan rendah, kurikulum merdeka jadi nambah combo maut  Translate",roebi.maulana,0,4,0,2024-11-20 11:06:59+00:00,2024-11-21T11:18:14.787775,Threads
"Selamat Hari Anak Nasional 2024 untuk anak-anak Indonesia! Dalam setiap langkah kalian, terhampar masa depan yang cerah. Teruslah berjalan menuju impian dan tujuan. hidup
Setiap anak memiliki keunikan dan potensinya masing-masing yang luar biasa. Jadilah versi terbaik dari diri kalian sendiri. Selamat memperingati Hari Anak Nasional 2024#harianaknasional #mialamanah #yar_baic #madrasahibtidaiyah #paud #taamalamanah #pendidikan  Translate",baic_amanah,0,0,0,2024-11-20 11:03:28+00:00,2024-11-21T11:19:06.466186,Threads
"Mungkin saja dan mau saja,  sebagai seorang yg berlatar belakang pendidikan elektronika saya paham sejauh mana peran perangkat elektronik dalam dunia kedokteran. Bahkan sekarang kita di Indonesia juga sudah mulai ber adaptasi dengan adanya aplikasi semacam Halodoc.com. mungkin makin kedepan dengan big data, teknogi sensor, strava, melacak mobilitas, 5G. Ai bisa memperkirakan kondisi kesehatan seseorang.  Translate",danupurwoko,0,0,0,2024-11-20 11:01:53+00:00,2024-11-21T11:19:04.723696,Threads
"Gak kak
Masih bahasa Indonesia
Soalnya tetang jabfung, pedagogik,teori pendidikan, tupoksi, dsbNah aku belum paham banget apkah keluar soal bahasa Inggris bidang kita atau gak  Translate",danubratadadang,0,1,0,2024-11-20 09:52:33+00:00,2024-11-21T11:19:02.239915,Threads
"Ikut²an (lagi) aja yaa 😂Lahir : Indonesia
Pekerjaan : Lg nyari receh aja
Umur : 36 tahun
Anak ke : 1 dari 3 bersaudara
Pendidikan : SMA (Sempat kuliah tp ngga smp lulus 🤭 karena keasikan kerja)
Suku : Jawa 
Spesifikasi T/B : 169 / 65
Domisili : Sekarang lg di Jogja
Agama : Islam
Hobby : Nyemil sambil nonton drakor udh paling wah buat saya 😅
Status : Single MomUtk nambah² relation,silahkan 😊🙏  Translate",ika_g.r.s,0,83,0,2024-11-20 09:09:07+00:00,2024-11-21T11:18:16.463649,Threads
"Wah momen yang pas ya, itu dibagian awal pemerannya nyari kerja tapi cuma punya referensi pelatihnya, ga ada pendidikan formal. Dan jadi nyari-nyari barangkali di Indonesia bisa gitu 🤣  Translate",widiahaizu,0,0,0,2024-11-20 08:05:31+00:00,2024-11-21T11:19:07.779225,Threads
"Setara dalam hal pendidikan, jabatan di kantor, itu namanya mengada².. Dan dalam hal gaji pun di Indonesia untuk level yg sama lebih tinggi perempuan..Setara yg benar itu secara pola pikir dan emosional  Translate",boedi07,0,0,0,2024-11-20 07:04:02+00:00,2024-11-21T11:19:05.396022,Threads
"Selamat kepada seluruh wisudawan dan wisudawati Institut Tazkia pada Wisuda XX.
Tema wisuda ""Mempersiapkan Generasi Indonesia Emas 2045 melalui Inovasi Pendidikan di Bidang Ekonomi Syariah dan Industri Halal""Video : youtube.com/live…  Translate",zma.phd,0,0,0,2024-11-20 06:42:02+00:00,2024-11-21T11:19:06.017320,Threads
"Indonesia bisa merasakan akibat dari karma baik yang djelaskan. Jadi karma baik itu kunci hidup di dunia pintar, kaya, cantik, bersih, sehat, disukai, dll semakin baik ya semakin bahagia. So bukan pakai pesugihan, tumbal, jin tetapi pakai karma, pendidikan pun kalau kita curang, licik ada karmanya tidak bisa berpikir, jadi ada sebab ada balasan, kita sumbangan, tidak licik, tidak curang, ada karma baik dan karma buruk. Nah... jadi jika ingin punya mind, sekolah itu jujur nanti akan dikasih mind.  Translate",bagus712,0,0,0,2024-11-20 06:24:05+00:00,2024-11-21T11:19:08.492705,Threads
"Sekolah negeri favorit masih diperebutkan kok. Kalo buat saya pertanyaannya justru: Kalau pendidikan itu hak azasi manusia, kenapa negara tidak menyediakan lebih banyak sekolah negeri dengan kualitas merata agar semua anak Indonesia berkesempatan mendapatkan pendidikan berkualitas apa pun tingkat ekonomi dan di mana pun wilayah tempat tinggalnya?  Translate",cute_lovely_garden,0,1,0,2024-11-20 06:04:30+00:00,2024-11-21T11:18:37.440631,Threads
"saya punya rangkuman pengasuhan dan stimulasi untuk anak usia 0-24 bulan dan 2-3 tahun berpacu pada sumber-sumber Pedoman terpercaya seperti (AAP), (CDC), (WHO), Dan Laporan Pendidikan dan Buku Pedoman Kementerian Kesehatan dan Pendidikan Indonesia lainnya yang lengkap dengan jadwal stimulasi hariannya. Ini linknya mendapatkan stimulasinya lynk.id/eulis…  Translate",eulisardiyanti,0,1,0,2024-11-20 05:47:38+00:00,2024-11-21T11:18:40.909111,Threads
"Lomba Karya Tulis Kreatif 2024 bersama misbah.fikie , lp2mi.id , karangtaruna.pondokgede , dan halopedekacom 
Karya Tulis dari saya @m.ibram_syah dengan judul ""Indonesia Inklusif dan Aksesibilitas untuk Semua Kalangan di Indonesia : Mendukung Pendidikan yang Berkualitas dan Berdaya Saing""  Translate",m.ibram_syah,0,0,0,2024-11-20 05:34:56+00:00,2024-11-21T11:19:09.974979,Threads
"Harusnya melihat dari kejadian ini, makan siang gratis bukan program dan solusi yang tepat. Tingkatkan pendapatan dan lapangan kerja di masyarakat, mudahkan akses pendidikan yang gratis dan merata, karena makan siang gratis tidak mengubah apapun keadaan Indonesia saat ini.  Translate",fpraamynm,0,3,0,2024-11-20 05:24:58+00:00,2024-11-21T11:18:38.127584,Threads
"Alhamdulillah, selamat kepada : Prof. Dr. dr Zulkifli, Prof. Dr. Robiana Modjo, atas pengukuhannya menjadi Guru Besar Fakultas Kesehatan Masyarakat Universitas IndonesiaSemoga UI tambah maju dan bisa membawa perubahan utk bangsa Indonesia melalui jalur pendidikan.  Translate",capt.irwansyah,0,0,0,2024-11-20 04:31:51+00:00,2024-11-21T11:18:41.455480,Threads
