Text,User,Likes,Reposts,Views,Status ID,Date,Platform,Scraped At,Replies,Sentiment
Biadaaabb!!! Indonesia darurat pendidikan yang layak dan merata!! Biar gak ada lagi orang2 yang otaknya mengsle kayak gini. Biar anak2 bisa aman bermain di mana saja.,@normantis_,0,0,40,1858748700497244443,2024-11-19 05:46:38,twitter,2024-11-20 09:57:16.426289,0,2
"“Di bidang pendidikan, seperti yang anda ketahui kami berharap dapat meningkatkan jumlah pelajar Indonesia yang bersekolah di institut Anda di India. Juga, untuk mengundang profesor India, guru India untuk mengajar di negara kita,” kata Prabowo.",@jatengnetwork,0,0,25,1858727768508559723,2024-11-19 04:23:28,twitter,2024-11-20 09:57:16.426289,0,1
"Indonesia kalau belajar kejauhan, kayak pendidikan niru kurikulum Finlandia hehe
Apakah dengan PPN naik, jastip dan wisata ke Thailand dan Malaysia akan lebih meningkat lagi ?",@mbahndi,3,1,968,1858742091754729516,2024-11-19 05:20:23,twitter,2024-11-20 09:57:16.426289,0,2
"Pajaknya pengen kaya negara Skandinavia, tapi kesejahteraan gurunya enggak ngerujuk ke sana. Pemerintah bersihnya enggak ngerujuk ke sana. Studi banding kok pilih-pilih yg menyejahterakan pejabat dan oligarki??!??!??",@galerieuis,3,0,109,1858938953224851698,2024-11-19 18:22:38,twitter,2024-11-20 09:57:16.426289,0,2
"Di negara2 nordik, pajak tinggi, tp didistribusikan utk kesejahteraan rakyatnya. Kesehatan dan pendidikan gratis. Cuti melahirkan untuk suami & istri, tetap dapat gaji. Beberapa bahkan memberi kompensasi untuk ibu melahirkan. Di Indonesia, pajak tinggi, rakyat cuma bisa nangis.",@yogyabookparty,0,0,23,1858809855412404480,2024-11-19 09:49:39,twitter,2024-11-20 09:57:16.426289,0,2
"Sama gaji kalo bisa gak usah UMR, biar pada sejahtera semuanya. Bisa afford pendidikan, kesehatan, transum merata seluruh Indonesia. People first, not for the group interests. 

Dan tingkatkan riset di Indonesia. Kalo ini semua belum terpenuhi, gak usah pake ala-ala Nordic.",@pecandubaca,0,0,30,1858867354165538886,2024-11-19 13:38:07,twitter,2024-11-20 09:57:16.426289,0,0
"Pendidikan ala Finlandia
Pajak Nordic Style

Fix Indonesia Emas di tahun 2035, ga jadi tahun 2045.",@nocontextsosmed,0,0,48,1858718388736193005,2024-11-19 03:46:11,twitter,2024-11-20 09:57:16.426289,0,1
"Ga ada. Mati suri kompetisi usia muda. Dari galasiswa, liga pendidikan indonesia, dll. Kalo di pusat sih enak ada liga kompas gramedia utk kelompok umur. Lah di daerah??",@edimulyanto24,0,0,137,1858913726927433759,2024-11-19 16:42:24,twitter,2024-11-20 09:57:16.426289,0,2
"Alhamdulillah.Pak @prabowo  Fokus aja ke pembenahan keuangan pembayaran hutang negara, & pembangunan mental sdm rakyat Indonesia melalui jalur pendidikan.  Anggaran utk Pendidikan, research & sains di up kan. Ngga slalunya pembangunan melulu di Infrastruktur (proyek mercusuar)",@chikacherry9090,5,0,3400,1858874956383481983,2024-11-19 14:08:20,twitter,2024-11-20 09:57:16.426289,0,0
ITU UDH ADA LINK. Lo ga bisa baca gw maklumin ga tamat pendidikan dasar. Maunya dari gambar tapi ga mau baca. SYUKUR org kyk lo ga pernah akan ketemu. Ketololan mcm lo harus dibasmi. Bye anak t0l0l. CEPET MATI BIAR INDONESIA GA BANYAK ORG TOLOL GA TAMAT PENDIDIKAN DASAR MCM LO.,@halluluya,0,0,20,1858737149111341486,2024-11-19 05:00:44,twitter,2024-11-20 09:57:16.426289,0,2
"Gini ya. Kalo mau pake sistem Nordic. Benahin dulu sistem negaranya dulu. Negara kita aja guru belum sejahtera, dosen juga. Ditambah sistem negara yang jauh dari meritokrasi, bukan dari orang yang ahli di bidangnya. 

Ditambah kemiskinan dan kebodohan masih dipelihara.",@pecandubaca,0,0,43,1858866582518391245,2024-11-19 13:35:04,twitter,2024-11-20 09:57:16.426289,0,2
"Di didik supaya beradap tapi nyatanya tak beradap , bagaimana sebenarnya pendidikan yang ada di Indonesia ini, miris lihatnya.",@solihin27281,0,0,31,1858858371547623576,2024-11-19 13:02:26,twitter,2024-11-20 09:57:16.426289,0,2
"Ngga makmur gimana indonesia ? PPN 12% paling tinggi di Asean, kekayaan alam ada semua..banyak lagi,pendidikan dan kesehatan rakyatnya bayar, mahal lagi,kurang apa coba,rakyat indonesia memanjakan pejabatnya.. udh gitu di korupsi lagi trus dibela lagi koruptornya.. menang banyak.",@kiannnnuuu1,0,0,201,1858694918920962542,2024-11-19 02:12:56,twitter,2024-11-20 09:57:16.426289,0,2
"Menteri Pendidikan Dasar dan Menengah (Mendikdasmen), Abdul Mu'ti meminta guruS untuk tidak hanya berfokus pada kegiatan belajar mengajar, melainkan memperhatikan kondisi peserta didik guna menekan angka bunuh diri dan stres pada remaja.",@suaragarutid,0,0,89,1858717361177850331,2024-11-19 03:42:06,twitter,2024-11-20 09:57:16.426289,0,1
"“ Jika Anda Seorang Pendidik berkarakter kuat dan berorientasi pendidikan masa depan, demi mencetak Generasi Emas bangsa Indonesia. 
Sepertinya anda adalah orang yang tepat untuk bergabung bersama kami sebagai Wakil Kepala Sekolah SDIT. “",@lokermagelangid,0,0,76,1858723540692021703,2024-11-19 04:06:40,twitter,2024-11-20 09:57:16.426289,0,0
"hai everyone! joki tugas by lala siap mengerjakan tugas-tugas soshum:
 hukum
 politik
 ilmu komunikasi
 bahasa indonesia
 sosiologi
 pendidikan
 agama islam (termasuk tugas fiqih, akidahakhlak, sejarah kebudayaan islam dll)
 psikologi
#zonauang #jokitugas #joktug",@lalasbayy,0,0,213,1858695769626472836,2024-11-19 02:16:19,twitter,2024-11-20 09:57:16.426289,0,1
"Salut buat varel bramasta yg peduli akan pendidikan di Indonesia,jarang lho anak muda yg peduli soal pendidikan kayak gini",@chocho1272267,0,0,266,1858852166259425566,2024-11-19 12:37:46,twitter,2024-11-20 09:57:16.426289,0,0
"Kyknya ini karena pendidikan di Indonesia itu, anak didik harus agak ""dipaksa"". Kalau pemain blasteran diaspora sih udah jelas pendidikannya itu kurikulum merdeka. STY bukan tipikal guru yg student learning center, tapi ini cocok bagi pemain lokal yg belum disiplin waktu itu.",@eleamaya,9,0,719,1858814479230005545,2024-11-19 10:08:01,twitter,2024-11-20 09:57:16.426289,0,0
"Heh tapi di Finland kalo penghasilan >100jt eur/tahun dipublish masyarakat bisa liat. Ga kyak sejenis LHKPN yg bisa diakalin 
Pendidikan gratis, anak sampe 18th dapet tunjangan

Lah di Indonesia pejabat menengah punya uang emas senilai 1 T di rumah tuh??
Menurut lo??",@besokwiken,1,2,333,1858749028575723776,2024-11-19 05:47:56,twitter,2024-11-20 09:57:16.426289,0,2
emang yang bilang ortu ngajarin anak ngebunuh siapa? gak ada bro. dan kok bisa dia ngebunuh? ortu dia ngajarin? di sekolah di ajarin ngebunuh? sejelek jelek nya pendidikan indonesia itu tidak ada kurikulum tentang membunuh. terus kalo seperti itu kok bisa dia ngebunuh?,@reystarboy66,0,0,11,1858971228528411022,2024-11-19 20:30:53,twitter,2024-11-20 09:57:16.426289,0,2
"Di tengah dinamika perubahan global, Indonesia dihadapkan pada tantangan untuk menyediakan pendidikan yang tidak hanya bermutu tinggi, tetapi juga merata dan inklusif bagi seluruh masyarakat guna membentuk generasi yang unggul.

Sebagai penggerak perubahan, ASN diharapkan mampu",@JatimPemprov,1,0,176,1858708827899871376,2024-11-19 03:08:12,twitter,2024-11-20 09:57:16.426289,0,0
"Tel-U dan AirNav Indonesia Tandatangani MoU untuk Perkuat Kolaborasi Pendidikan dan Riset di Industri Aviasi
Selengkapnya https://telkomuniversity.ac.id/tel-u-dan-airnav-indonesia-tandatangani-mou-untuk-perkuat-kolaborasi-pendidikan-dan-riset-di-industri-aviasi/…
#TelkomUniversity #KampusSwastaTerbaik #CreatingTheFuture #ContributeToTheWorld #EntrepreneurialUniversity #SustainabilityUniversity",@TelUniversity,0,0,121,1858676675430564288,2024-11-19 01:00:26,twitter,2024-11-20 09:57:16.426289,0,1
"Semoga ditangan dua Orang Alim ini, pendidikan  di Indonesia kembali pada ruh nya... Yakni pendidikan Adab dan Akhlak diatas segalanya",@AbdulWahidi21,0,0,413,1858870897089908806,2024-11-19 13:52:12,twitter,2024-11-20 09:57:16.426289,0,0
"Indonesia udah jadi Negara sendiri. Jadinya harus aja ada yang teriak: ""Dijarah, dimaling! Kita dijajah, dll.""

Karena faktor pendidikan belum mumpuni untuk menjelaskan.",@vexcalabran,0,0,12,1858975823048696110,2024-11-19 20:49:08,twitter,2024-11-20 09:57:16.426289,0,2
"Kami sambut baik kerjasama Indonesia-India di bidang kesehatan. Di Indonesia stlh moratorium pendirian fak.  Kedokteran telah dibuka 2023. Berbagai Univ. telah mendirikan Fak. Kedokteran baru. Yg masih moratorium prodi Keperawatan dan Farmasi. 
https://cnbcindonesia.com/news/20241119120820-4-589348/bertemu-pm-modi-prabowo-mau-datangkan-dokter-profesor-dari-india…",@musniumar_,1,0,29,1858840438163337483,2024-11-19 11:51:10,twitter,2024-11-20 09:57:16.426289,0,1
"“Edukasi kali ini untuk membangun budaya berintegritas anti korupsi menjadi sebuah gerakan sejak usia sekolah karena dunia pendidikan berperan penting dan strategis dalam menciptakan pribadi unggul, berkarakter dan berintegritas”.",@InspektoratJAK,0,0,13,1858746562811425027,2024-11-19 05:38:09,twitter,2024-11-20 09:57:16.426289,0,0
"Presiden RI Prabowo Subianto melakukan pertemuan bilateral dengan Perdana Menteri (PM) India Narendra Modi.

https://jakarta.suaramerdeka.com/internasional/13413978450/prabowo-bertemu-pm-india-ajak-kirim-ahli-untuk-mengajar-pendidikan-kesehatan-di-indonesia…
#suaramerdeka #suaramerdekacom #promedia #kerjasama #prabowo #investasi #keuanga #pendidikan #kesehatan",@suaramerdeka,0,0,63,1858775970343461168,2024-11-19 07:35:00,twitter,2024-11-20 09:57:16.426289,0,1
"Kualitas pendidikan Indonesia perlu dibaiki.

Honorarium perlu ditingkatkan. Minimal 8 jt.",@NoahFitrie,0,0,292,1858853542020476963,2024-11-19 12:43:14,twitter,2024-11-20 09:57:16.426289,0,1
"Program Studi Ilmu Pemerintahan FISIP UNIKOM melaksanakan Kuliah Kerja Lapangan (KKL) sebagai bagian dari implementasi Tri Dharma Perguruan Tinggi, mencakup pendidikan, penelitian, dan pengabdian masyarakat. KKL merupakan bagian dari kurikulum semester VII, yang pada 2024 terbagi",@unikomtwit,0,0,50,1858697762776510587,2024-11-19 02:24:14,twitter,2024-11-20 09:57:16.426289,0,1
"apakah tingkat pendidikan disana sdh merata atau belum? 
saya tdk mendengar bahasa Indonesia disana! 
Apakah itu masih daerah negara Indonesia?",@JetoStefano,0,0,11,1858908771244011980,2024-11-19 16:22:42,twitter,2024-11-20 09:57:16.426289,0,2
"Tapi bagi para calon pemimpin indonesia visi misi meningkatkan pendidikan/kualitas sdm rakyat menjadi isu yg kurang sexy, seringnya yg di janjikan kalo nggak infrastruktur ya segala jenis bansos",@Fakesmileyyy,0,0,642,1858733472145436919,2024-11-19 04:46:08,twitter,2024-11-20 09:57:16.426289,0,2
"Ya karna Indonesia sudah berada di level setara negara-2 Eropa. Tingkat dan sistem pendidikan sudah advanced, tingkat ekonomi & kesejahteraan rakyat top level, pembangunan merata diseluruh pelosok sampai pelosok paling terpencil sekalipun, tingkat korupsi hampir nol..",@pratomo_w,0,0,11,1858691285256991061,2024-11-19 01:58:29,twitter,2024-11-20 09:57:16.426289,0,2
Org² cerdas yg bisa masuk. kocakkk!! Ekspektasi atau mmg naif klo sekolah ini adalah sekolah bisnis terbaik se Indonesia! Lulus dr situ bisa pnya pasukan militer dan pengaruh!! Lembaga pendidikan modelan gini khusus kaum elite! Sila ke 5 Pancasila di hapus aja!,@harimuklas1,1,2,637,1858772223114567905,2024-11-19 07:20:06,twitter,2024-11-20 09:57:16.426289,0,2
"Makanya SDM Indonesia ini jauh tertinggal dari vietnam, malaysia, aplgi singapore krn pemimpinnya kasih makan bansos doank dan gak bisa naikkin level pendidikan rakyat.   Dulu aku pikir ada satria piningit ternyata cuma wong kebul !",@AgusKuswanto121,0,0,31,1858766609374171311,2024-11-19 06:57:48,twitter,2024-11-20 09:57:16.426289,0,2
"“Dan di sini kita mungkin perlu mengirimkan beberapa spesialis dari India untuk mengajar di perguruan tinggi kami,"" kata Prabowo

https://nasional.kompas.com/read/2024/11/19/08225731/kekurangan-tenaga-medis-prabowo-ajak-india-kirim-ahli-kesehatan-mengajar-di…",@kompascom,25,7,9100,1858720893498949637,2024-11-19 03:56:09,twitter,2024-11-20 09:57:16.426289,0,1
"Inspirasi Pagi - Dialog Umat
Matinya Perguruan Tinggi (bag. 1)
Bersama:
Dr. H. Adian Husaini, http://M.Si.
(Ketua Dewan Dakwah Islamiyah Indonesia (DDII) & Ketua Program Doktor Pendidikan Agama Islam Universitas Ibn Khaldun Bogor)

https://fb.watch/vXBW_tRC6-/",@mqfmbandung,0,0,44,1858671265932079351,2024-11-19 00:38:56,twitter,2024-11-20 09:57:16.426289,0,1
"Warisan Budaya Takbenda UNESCO Indonesia: keris/kris; wayang (kulit, wayang golek, wayang klitik); batik (canting, cap); pendidikan dan pelatihan batik; angklung; tarian saman; noken; tiga genre tari tradisional di Bali; pinisi; pencak silat; pantun; gamelan; budaya sehat jamu.",@awanlembayung_,7,0,43,1858873650319118364,2024-11-19 14:03:09,twitter,2024-11-20 09:57:16.426289,0,1
"Prabowo Bertemu PM India, Ajak Kirim Ahli untuk Mengajar Pendidikan Kesehatan di Indonesia",@RonaJateng5,1,0,14,1858821499635069309,2024-11-19 10:35:55,twitter,2024-11-20 09:57:16.426289,0,1
"100 % benar. Disirami sembako gratis; bukannya diksh gratis pendidikan & lapangan kerja. Kok baru sadar ?
https://finance.detik.com/berita-ekonomi-bisnis/d-7645753/30-tahun-ri-terjebak-jadi-negara-berpendapatan-menengah-menteri-prabowo-bilang-begini…

Menteri PPN/Kepala Bappenas Rachmat Pambudy menyoroti pertumbuhan ekonomi Indonesia yang stagnan dalam kisaran 5% selama 20 tahun terakhir.",@FMBaJa,2,0,73,1858741794072392025,2024-11-19 05:19:12,twitter,2024-11-20 09:57:16.426289,0,1
"pekerja seni udah muak bgt cung, skrg meleber ke ranah pendidikan. emang menuju Indonesia CEmas ini mah",@kenfordallz,0,0,15,1858704740001128595,2024-11-19 02:51:57,twitter,2024-11-20 09:57:16.426289,0,2
Pendidikan menjadi sektor penting dari Presiden Prabowo,@RNarpati92838,0,0,9,1858679973776945157,2024-11-19 01:13:33,twitter,2024-11-20 09:57:16.426289,0,1
"Kenalin, Deepublish Store
Pusat Referensi Buku Kuliah Terlengkap di Indonesia
Cari buku apapun ada, mulai dari buku pendidikan, motivasi, self-improvement sampai fiksi. Tersedia di berbagai e-commerce dan digital books, 100% original
Jadi, beli buku ya di Deepublish Store aja!",@deepublishstore,0,0,37,1858736963874156913,2024-11-19 05:00:00,twitter,2024-11-20 09:57:16.426289,0,1
"Bener banget, gaes! Jangan sampai lupa sama akar sejarah pendidikan di Indonesia supaya bisa ngambil hikmahnya.",@alanfarias1621,0,0,19,1858934286851977416,2024-11-19 18:04:05,twitter,2024-11-20 09:57:16.426289,0,0
"Aku baca² sistem pendidikan di korea itu bener² bagus ya. Mereka itu kawatir nilai jelek, karena nilai itu ibaratnya tiket ke step jenjang pendidikan brikutnya yg sgt berpengaruh kedepan. Sedangkan dsini, ssrba longgar dan dimudahkan makanya kompetensinya dan kompetisinya kurang",@wahyuhidayatSTR,1,0,55,1858689220967297408,2024-11-19 01:50:17,twitter,2024-11-20 09:57:16.426289,0,2
"setelah kuliah di Malaysia, ada beberapa amatan saya: penduduk di sana tingkat kepatuhan hukumnya tinggi. sistem pendidikan sepertinya sudah di atas Indonesia, BBM juga murah. Namun, soal kreatifitas, kita masih lebih bagus dari mereka.",@pattahindi,8,0,1000,1858739833864347717,2024-11-19 05:11:24,twitter,2024-11-20 09:57:16.426289,0,0
"-PUNGUTAN LIAR YG WAJIB-
Hari ini tadi datang mengikuti pertemuan Orang Tua/Wali Siswa yg agendanya Sosialisasi Bantuan Program Indonesia Pintar (PIP) Non Reguler. PIP non reguler merupakan bantuan dana pendidikan untuk siswa melalui anggota dewan bidang pendidikan.",@DHermawan04,0,0,31,1858732572869881858,2024-11-19 04:42:33,twitter,2024-11-20 09:57:16.426289,0,1
"SEMUANYA berawal dari pendidikan, 
tapi sistem pendidikan kitanya aja kacau, guru ga dihargai,
korup ke sistem-sistemnya. (semoga ga ada yg ngelak, saya pernah jadi tenaga pendidik, merangkap operator sekolah dan pengurus bos, tau percis rusaknya gmn, setidaknya di daerah saya)",@anggraenime,2,0,1200,1858756747864969439,2024-11-19 06:18:37,twitter,2024-11-20 09:57:16.426289,0,2
"Bicara di KTT G20, Prabowo Ungkap Alasan Besarnya Alokasi untuk Pendidikan di APBN

Rio de Janeiro - Presiden RI Prabowo Subianto mengungkapkan alasan alokasi terbesar Anggaran Pendapatan dan Belanja Negara (APBN) Indonesia adalah pada sektor pendidikan.

Hal ini disampaikan",@RadioElshinta,4,0,1000,1858806101564944696,2024-11-19 09:34:44,twitter,2024-11-20 09:57:16.426289,0,1
seneng deh tiap ica (ICAAAA) nanya2 dan diskusi banyak hal dengan range bahasan mulai dari ketimpangan pendidikan di indonesia sampai perbandingan ukuran alat kopulasi pria...,@moonwalkink,0,1,148,1858882992376361285,2024-11-19 14:40:16,twitter,2024-11-20 09:57:16.426289,0,0
Topik Diskusi Pagi ini:Mengkaji Pembelajaran Coding Masuk dalam Kurikulum Sekolah Dasar dan Menengah. Berikut pengamat pendidikan/Dosen di Institut Teknologi Bandung (ITB);Prof Iwan Pranoto #NOW #LIVE #TOPIK #pembelajaran #coding #kurikulum #sekolahdasarmenengah cc: @iwanpranoto,@RadioIdolaSMG,0,1,171,1858678910055313672,2024-11-19 01:09:19,twitter,2024-11-20 09:57:16.426289,0,1
Ini beda pendidikan Nicholas Saputra dan Reza Rahadian yang sama-sama menjadi aktor kebanggaan Indonesia.,@1nserttranstv,1,1,263,1858742866522345787,2024-11-19 05:23:27,twitter,2024-11-20 09:57:16.426289,0,0
Jenis Investasi Pendidikan Anak untuk Masa Depan yang Lebih Cerah,@Fortune_IDN,0,0,13,1858993657874936075,2024-11-19 22:00:01,twitter,2024-11-20 09:57:16.426289,0,0
"Betul, 
Dari segi pendidikan, tingkat dasar dan menengah sudah gratis, 
Tiap pelosok sekarang sudah ada universitas dengan biaya yang terjangkau. 
Dan tiap daerah sudah memiliki banyak tenaga ahli...",@Bang_Ramzan,10,0,1300,1858817705983483988,2024-11-19 10:20:50,twitter,2024-11-20 09:57:16.426289,0,0
"Investigasi @hariankompas juga mengungkap, adanya guru siluman. Guru yang lulus seleksi tanpa mengajar, ini menguatkan dugaan, sistem pendataan longgar. Seleksi ngga benar2 serius dijalankan. Terindikasi jadi mainan saja. 

Linknya ada di sini https://kompas.id/artikel/guru-honorer-siluman-mencurangi-seleksi?open_from=Tagar_Page…",@perajutkata26,0,0,29,1858719705114312870,2024-11-19 03:51:25,twitter,2024-11-20 09:57:16.426289,0,2
Kejelasan dan kelanjutan program yang dijanjikan pemerintah untuk membiayai pendidikan tinggi di luar negeri dinanti. #Humaniora #AdadiKompas,@kompasmuda,0,0,49,1858675554977017881,2024-11-19 00:55:59,twitter,2024-11-20 09:57:16.426289,0,1
"Pak Bu yg lagi survey sekolah, selain fasilitas+kurikulum, coba kepoin SDM + teachers’ welfare alias kesejahteraan guru alias apakah gaji guru2nya sesuai peraturan atau bahkan lebih baik.

Highly-qualified teachers tidak murah dan itu berdampak langsung ke kualitas pengajaran.",@livngn,10,3,347,1858840667486908859,2024-11-19 11:52:05,twitter,2024-11-20 09:57:16.426289,0,2
Alhasil mereka mau belajar dan banyak belajar dan sekarang dua daerah tersebut terbilang udah cukup maju. Salah satu faktornya berkat tenaga pendidik dari indonesia tadi. Justru sekarang pendidikan kita makin banyak tertinggal.,@R00SEVELT_,1,0,48,1858750178330911144,2024-11-19 05:52:31,twitter,2024-11-20 09:57:16.426289,0,2
Prabowo Ungkap Alasan Besarnya Alokasi APBN untuk Pendidikan Indonesia saat Bicara di KTT G20,@Hulondaloid,0,0,31,1858875608392159429,2024-11-19 14:10:55,twitter,2024-11-20 09:57:16.426289,0,1
"Pameran pendidikan Jepang

Tgl 23 Nov di Surabaya(ICBC Center)

Tgl 24 Nov di Jakarta (JCC)

Gratis utk umum
https://jasso.or.id/87/news-and-events/study-in-japan-indonesia-fair-2024.html…. 

Pribumi yang rindukan kelanjutan kemesraan hubungan bilateral Indonesia-Jepang, yuk kita kunjungi pameran pendidikan Jepang tsb.",@DahrinOde,0,0,23,1858837741976645771,2024-11-19 11:40:27,twitter,2024-11-20 09:57:16.426289,0,0
Farhan-Erwin   ingin wujudkan Bandung sebagai kota dengan pendidikan terbaik di Indonesia.   #BandungUtama #PilwalkotBandung2024,@sdge7soudi19,0,0,3,1858898459904143497,2024-11-19 15:41:44,twitter,2024-11-20 09:57:16.426289,0,1
"Sumber: https://ensiklopedia.kemdikbud.go.id/sastra/artikel/Sri_Sumarah_dan_Bawuk… | Ensiklopedia Sastra Indonesia - Badan Pengembangan dan Pembinaan Bahasa, Kementerian Pendidikan dan Kebudayaan Republik Indonesia",@pojokcerpen,0,0,26,1858751361338507593,2024-11-19 05:57:13,twitter,2024-11-20 09:57:16.426289,0,1
"Dengan Indibiz, pendidikan di Indonesia semakin dekat dengan teknologi digital.  #IndibizSekolah #DigitalEducation",@indibiz_bogor,0,0,15,1859011270797935102,2024-11-19 23:10:00,twitter,2024-11-20 09:57:16.426289,0,0
"Jumlah penduduk miskin sangat dipengaruhi oleh biaya pendidikan, pelayanan kesehatan yang masih mahal, hingga mahalnya akses terhadap perumahan. Masalah-masalah ini lah yang sampai saat ini juga dianggap sebagai masalah sosial di Indonesia.",@theprakarsa,0,0,26,1858702132620521500,2024-11-19 02:41:36,twitter,2024-11-20 09:57:16.426289,0,2
"Gitu dong bro varel , pendidikan di Indonesia memang harus diperjuangkan dan disetarakan",@bison14622,0,0,8,1858989765422620706,2024-11-19 21:44:33,twitter,2024-11-20 09:57:16.426289,0,2
"Lakukan Pertemuan Bilateral, Prabowo Ajak PM India Kirim Ahli untuk Mengajar Pendidikan Kesehatan di Indonesia",@Hulondaloid,0,0,26,1858848308699246715,2024-11-19 12:22:27,twitter,2024-11-20 09:57:16.426289,0,1
"Bertemu PM India, Prabowo Ajak Kirim Ahli untuk Mengajar Pendidikan Kesehatan di Indonesia
#beritanasional #selasa #pmindia #prabowo #pendidikankesehatan #indonesia #narendramodi #kttg20",@NasionalBerita_,0,0,17,1858731929979548024,2024-11-19 04:40:00,twitter,2024-11-20 09:57:16.426289,0,1
Melansir dari buku Ilmu Pengetahuan Alam/Kementerian Pendidikan dan Kebudayaan Untuk SMP/MTs Kelas IX Semester 2 yang ditulis Siti Zubaidah dkk.Contoh atom natrium (Na) yang punya 11 elektron,@mediaindonesia,0,0,381,1858845513980015057,2024-11-19 12:11:20,twitter,2024-11-20 09:57:16.426289,0,1
"Politik Pendidikan Agama dalam Era Pluralisme; telaah Historis atas Kebijaksanaan pendidikan Agama Konfesional di Indonesia

Tahun 2004
202 halaman

Harga 85.000
Minat ?

Cara Order silakan
✓DM or Klik link WA http://wa.link/77v7j8",@WarungSejarahRI,0,0,90,1858757239227773140,2024-11-19 06:20:34,twitter,2024-11-20 09:57:16.426289,0,1
"Wisuda Angkatan XIX UNISBA Blitar, Wujudkan Generasi Unggul Songsong Indonesia Emas 2045",@radarblitar,0,0,22,1858709411621204469,2024-11-19 03:10:31,twitter,2024-11-20 09:57:16.426289,0,1
"PT Bank Central Asia Tbk (BCA) berkomitmen untuk membantu meningkatkan mutu pendidikan di Indonesia melalui program Bakti BCA, salah satu sekolah di Kota Bengkulu menjadi target Bakti BCA yakni SDN 61 Kota Bengkulu.",@MC_kotabengkulu,1,0,53,1858716107466502171,2024-11-19 03:37:07,twitter,2024-11-20 09:57:16.426289,0,1
Prabowo Minta PM India Kirim Guru buat Pendidikan Kesehatan di RI,@cnbcindonesia,0,0,266,1858799749002088787,2024-11-19 09:09:29,twitter,2024-11-20 09:57:16.426289,0,1
